	foF2	hmF2	TEC
00:00	2.95	255.9	1.5
00:15	2.95	263.5	1.4
00:30	2.95	282.8	1.4
00:45	3	270.4	1.3
01:00	3.125	279.8	1.6
01:15	3.075	260.3	0.9
01:30	3.15	258.1	0.6
01:45	3.05	249.4	1.2
02:00	3.125	245	1.2
02:15	3.025	248.3	1.2
02:30	3	241.2	1.2
02:45	2.85	239.6	1.1
03:00	2.525	226.1	0.5
03:15	2.275	234.2	0.3
03:30	2.475	325.8	1.4
03:45	2.425	280.2	0.7
04:00	2.55	278.7	0.8
04:15	2.6	259.9	0.7
04:30	2.85	269.4	1.2
04:45	2.95	253.2	1.1
05:00	3	234.3	0.9
05:15	3.325	239.9	1.4
05:30	3.575	209.5	1.2
05:45	3.95	206.9	1.9
06:00	4.35	216	3
06:15	4.925	209.3	3.5
06:30	5.125	199.6	3
06:45	4.875	193	2.8
07:00	4.9	199.9	3.6
07:15	5.125	210.4	5.6
07:30	5.425	202.8	4.5
07:45	5.375	188.8	3.7
08:00	5.65	196.6	4.7
08:15	5.025	179.1	3.1
08:30	4.65	180.2	3.3
08:45			
09:00	6.475	209.8	6
09:15	6.6	229.1	8.3
09:30	7.225	214.3	7.6
09:45	7.538	223.7	8.1
10:00	7.475	219.8	9.5
10:15	8.163	210	9.3
10:30	7.725	199.5	6.2
10:45	6.275	186.3	4.5
11:00	5.406	193.2	4
11:15	5.838	196.6	5.1
11:30	5.625	186.9	5.4
11:45	5.075	192.7	5.1
12:00	5.325	194.7	5.2
12:15	5	177	3.3
12:30	5.275	233.3	6.9
12:45	6.175	237	8.3
13:00	6.425	219.4	6.6
13:15	6.375	211.3	6.1
13:30	6.425	205.3	5.4
13:45	6.425	209.2	5.5
14:00	6.075	199.6	3.9
14:15	5.75	201.6	4.2
14:30	5.175	191.8	3
14:45	4.675	190.3	2.1
15:00	4.075	190.7	1.8
15:15	3.475	212.2	2
15:30	3.475	253.2	2.2
15:45	3.2	274.5	2.5
16:00	3.225	289.9	2.1
